亜, ア ア シ ア, つ ぐ, châu Á; Xếp hạng tiếp theo; theo sau, đuổi theo, xảy đến; -người
阿, ア オ, お も ね る, châu Phi; nịnh nọt; Nô lệ; góc; Nook; Chỗ nghỉ
哀, ア イ, あ わ れ あ わ, path path path; Đau buồn; Nỗi buồn; Bệnh; lòng thương hại; Thông cảm
葵, キ, あ お い, chim ưng
茜, セ ン, あ か ね, điên; Thuốc nhuộm đỏ; Thổ Nhĩ Kỳ đỏ
握, ア ク, に ぎ る, kẹp; giữ; Khuôn sushi; mua chuộc
渥, ア ク, あ つ い う る お う, lòng tử tế
旭, キ ョ ク, あ さ ひ, mặt trời mọc; mặt trời buổi sáng
梓, シ, あ ず さ, cây catalpa
扱, シ ョ ウ, シ つ か る ウ, シ ョ ウ ウ, tay cầm; giải trí; Thresh; Dải
宛, エ ン, あ て る あ た か も, địa chỉ; giống như; May mắn
絢, ケ ン ,, kimono thiết kế
綾, リ ン, あ や, thiết kế; Vải có hình; Twill
鮎, デ ン ネ ン, あ ゆ な ま ず, cá hồi nước ngọt; Mùi
案, ア ン ,, kế hoạch; gợi ý; bản nháp; Suy ngẫm; nỗi sợ; Dự luật; ý kiến; sự mong đợi; hóa đơn; lo
杏, キ ョ ウ ア ア ン ウ, あ ん ず, quả mơ
伊, イ, か れ, Ý; cái đó
威, イ, お ど す お ど し お ど か す, đe dọa; Phẩm giá; Uy nghi; Đe dọa; hăm dọa
尉, イ ジ ョ ウ ,, sĩ quan quân đội; Người giam giữ; Ông già; cấp
惟, イ ユ イ, お も ん み, イ る う に, xem xét; phản chiếu; Nghĩ
慰, イ, な ぐ さ め る な ぐ さ む, an ủi; vui chơi giải trí; Quyến rũ; vui lên; Làm thể thao; Thoải mái; Bảng điều khiển
為, イ, た め め め な り り, làm; thay đổi; chế tạo; lợi ích; Phúc lợi Được sử dụng; đạt tới; thử; thực hành; Giá cả; phục vụ như; Tốt; lợi thế; la kêt quả của
異, イ, こ と こ と な る, không phổ biến; Hằng ngày; Kỳ lạ; Tuyệt vời; Hiếu kỳ; bất thường
維, イ ,, sợi; cà vạt; dây thừng
緯, イ, よ こ い と ぬ き, ngang; Woof; trái phải; Vĩ độ
遺, イ ユ イ, thừa kế; Để lại; dự trữ
井, セ イ シ ョ ウ, い, tốt; Giếng; thị trấn; cộng đồng
亥, ガ イ カ イ, い, dấu hiệu của con lợn; 9-11 giờ; Dấu thứ mười hai của hoàng đạo Trung Quốc
郁, イ ク ,, tiến bộ văn hoá; Nước hoa
磯, キ, い そ, bờ biển; bờ biển
壱, イ チ イ ツ, ひ と つ, tôi; một
逸, イ ツ, そ れ る そ ら す ツ, đi chệch; Sự trì trệ; Giải trí; Bỏ lỡ dấu; Trốn tránh; Bỏ; Đánh nhau; phân ra
稲, ト ウ テ, い ね い な -, cây lúa
芋, ウ, い も, khoai tây
允, イ ン, じ ょ う ま こ と ン, giấy phép; Chân thành; Cho phép
姻, イ ン ,, hôn nhân; kết hôn
胤, イ ン, た ね, hậu duệ; vấn đề; Con cái
陰, イ ン, か げ か げ る, bóng mát; Âm; tiêu cực; Các cơ quan sinh dục; bí mật; bóng
隠, イ ン オ ン, che giấu, 隠, イ く ン ン ン. ẩn giấu; che
韻, イ ン ,, vần; Sang trọng; tấn
卯, ボ ウ モ ウ, う, dấu hiệu của thỏ; 5-7AM; Dấu hiệu thứ tư của zodiac Trung Quốc; Dấu hiệu của con thỏ; Đông
丑, チ ュ ウ, う し, dấu hiệu của bò hoặc bò; 1-3AM; Dấu hiệu thứ hai của hoàng đạo Trung Quốc
渦, カ, う ず, xoáy nước; Xoáy nước; Xoáy nước
浦, ホ, う ら, bay; Lạch nhỏ; Đầu vào; Vịnh; bờ biển; Bờ biển
云, ウ ン, い う こ こ に, nói
影, エ イ, か げ, bóng; Hình bóng; ma
瑛, エ イ, lấp lánh đồ trang sức; pha lê
衛, エ イ エ ,, quốc phòng; sự bảo vệ
詠, エ イ, よ む う た う, niệm; Thơ; bài hát; Sáng tác
疫, エ キ ヤ ク ,, đại dịch
益, エ キ ヤ ク, ま す, lợi ích; thu được; lợi nhuận; lợi thế
悦, エ ツ, よ ろ こ ぶ よ ろ こ ば す, ecstasy; vui sướng; Sự cất lên
謁, エ ツ ,, khán giả; Khán giả (với vua)
閲, エ ツ, け み す る, đánh giá; Kiểm tra; Sửa lại
宴, エ ン, う た げ, tiệc; tiệc; buổi tiệc
援, エ ン ,, abet; Cứu giúp; tiết kiệm
沿, エ ン, そ う, chạy dọc theo; dõi theo; chạy theo sau; Nằm cùng
炎, エ ン, ほ の お, viêm; Ngọn lửa; Ngọn lửa
猿, エ ン, さ る, khỉ
縁, エ ン, ふ ち ふ ち ど が ン ン, ふ ち ふ よ aff し, quan hệ; Kết nối; cạnh; biên giới; Vách; Bờ sông
艶, エ ン, つ ン, つ ン ン, つ ン ン, エ ン ン ン, エ ン ン ン く く くnước bóng; Kem phủ lên bánh; đánh bóng; quyến rũ; Đầy màu sắc; Quyến rũ
苑, エ ン オ ン, そ の う つ, vườn; nông trại; công viên
鉛, エ ン, な ま り, chì
凹, オ ウ, く ぼ む へ こ, lõm; Rỗng; Chìm đắm
往, オ ウ, い く い に し え さ く, hành trình; đuổi đi; đi thôi; đang đi; du lịch
応, オ ウ ヨ ウ, オ た る る る, áp dụng; câu trả lời; Vâng; ĐƯỢC; Đáp lại; Chấp nhận
殴, オ ウ, な ぐ る, tấn công; đánh; tiết tấu; Thrash
翁, オ ウ, お き な, lão già đáng kính
岡, コ ウ, お か, gắn kết; đồi núi; chuông kêu
沖, チ ュ ウ, お き お き つ く, biển khơi; Offing; Bay cao vào bầu trời
憶, オ ク ,, hồi ức; Suy nghĩ; nhớ lại
乙, オ ツ イ ツ, お と - き の と, thứ hai; bản sao; Kỳ lạ; dí dỏm
俺, エ ン, お れ わ れ, tôi; riêng tôi
